"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
93.81179,953.309,-1.04719,0,NA,0,0
94.01179,951.215,-1.0472,0,NA,0,0
94.21179,949.12,-0.785391033,0,NA,0,0
94.21679,949.081,-0.523597956,0,NA,0,0
94.22179,949.055,-0.261798978,0,NA,0,0
94.22679,949.042,0,0,NA,0,0
94.24679,949.042,0,0,NA,0,0
94.28679,949.042,0,0,NA,0,0
94.30679,949.042,0,0,NA,0,0
94.3355,949.042,0,0,NA,0,0
94.36131,949.042,0,0,NA,0,0
94.45032,949.042,0,0,"Salas de los Infantes",1,0
94.46131,949.042,0,0,NA,0,0
94.56131,949.042,0,0,NA,0,0
94.64204,949.042,0,0,"Salas de los Infantes",1,0
94.66131,949.042,0,0,NA,0,0
94.76131,949.042,0,0,NA,0,0
94.78131,949.042,0,0,NA,0,0
94.807125,949.042,0,0,NA,0,0
94.8358359,949.042,0,0,NA,0,0
94.8758359,949.042,-0.261797,0,NA,0,0
94.88217,949.025,-0.261797,0,"100",3,0
94.8845547,949.019,-0.261797,0,"90",4,0
94.8858359,949.016,-0.523605,0,NA,0,0
94.9758359,948.545,-0.523599,0,NA,0,0
95.1758359,947.4972,-0.523602,0,NA,0,0
95.3758359,946.45,-0.523603,0,NA,0,0
95.4658359,945.979,-0.523595,0,NA,0,0
95.5558359,945.508,-0.5236,0,NA,0,0
95.7558359,944.461,-0.261798978,0,NA,0,0
95.7658359,944.4352,0,0,NA,0,0
95.8558359,944.4352,0,0,NA,0,0
95.9458359,944.4352,0,0,NA,0,0
95.9468359,944.4352,0,0.00133333332,NA,0,0.00133333332
96.0777344,944.4352,0,0.00133333332,NA,0,0.00133333332
96.20863,944.4352,-0.261798978,0,NA,0,0
96.35863,944.042,-0.2618,0,NA,0,0
96.50863,943.6489,-0.2618,0,NA,0,0
96.52863,943.597,-0.261795,0.00133333332,NA,0,0.00133333332
96.65953,943.256,-0.261798978,0.00133333332,NA,0,0.00133333332
96.79043,942.915,-0.261798,0.00133333332,NA,0,0.00133333332
96.85588,942.744,0,0,NA,0,0
97.05588,942.744,0,0,NA,0,0
97.25588,942.744,0,0,NA,0,0
97.45588,942.744,0,0,NA,0,0
97.65588,942.744,0,0,NA,0,0
97.85588,942.744,0,0.00133333332,NA,0,0.00133333332
97.98678,942.744,0,0.00133333332,NA,0,0.00133333332
98.0522344,942.744,0,0,NA,0,0
98.18809,942.744,0,0,"195",2,0
98.2522344,942.744,0,0,NA,0,0
98.3022344,942.744,0,0,NA,0,0
98.3322344,942.744,0,0,NA,0,0
98.35174,942.744,0,0,"La Revilla",1,0
98.39007,942.744,0,0,"100",4,0
98.39557,942.744,0,0,"85",3,0
98.43224,942.744,0,0,NA,0,0
98.44463,942.744,0,0,"La Revilla",1,0
98.53224,942.744,0,0,NA,0,0
98.63224,942.744,0,0,NA,0,0
98.65224,942.744,0,0,NA,0,0
98.85224,942.744,0,0.00133333332,NA,0,0.00133333332
98.98314,942.744,0,0.00133333332,NA,0,0.00133333332
98.9962344,942.744,0,0.00133333332,NA,0,0.00133333332
99.00933,942.744,0,0,NA,0,0
99.20933,942.744,0,0,NA,0,0
99.40933,942.744,0,0,NA,0,0
99.60933,942.744,0,0,NA,0,0
99.80933,942.744,0,0,NA,0,0
99.90933,942.744,0,0,NA,0,0
99.93433,942.744,0,0.002,NA,0,0.002
100.021594,942.744,0,0.002,NA,0,0.002
100.065227,942.744,0,0,NA,0,0
100.1567,942.744,0,0,"85",4,0
100.160406,942.744,0,0,"80",3,0
